"행정구역","2026년08월_계_총인구수","2026년08월_계_연령구간인구수","2026년08월_계_0~4세","2026년08월_계_5~9세","2026년08월_계_10~14세","2026년08월_계_15~19세","2026년08월_계_20~24세","2026년08월_계_25~29세","2026년08월_계_30~34세","2026년08월_계_35~39세","2026년08월_계_40~44세","2026년08월_계_45~49세","2026년08월_계_50~54세","2026년08월_계_55~59세","2026년08월_계_60~64세","2026년08월_계_65~69세","2026년08월_계_70~74세","2026년08월_계_75~79세","2026년08월_계_80~84세","2026년08월_계_85~89세","2026년08월_계_90~94세","2026년08월_계_95~99세","2026년08월_계_100세 이상","2026년08월_남_총인구수","2026년08월_남_연령구간인구수","2026년08월_남_0~4세","2026년08월_남_5~9세","2026년08월_남_10~14세","2026년08월_남_15~19세","2026년08월_남_20~24세","2026년08월_남_25~29세","2026년08월_남_30~34세","2026년08월_남_35~39세","2026년08월_남_40~44세","2026년08월_남_45~49세","2026년08월_남_50~54세","2026년08월_남_55~59세","2026년08월_남_60~64세","2026년08월_남_65~69세","2026년08월_남_70~74세","2026년08월_남_75~79세","2026년08월_남_80~84세","2026년08월_남_85~89세","2026년08월_남_90~94세","2026년08월_남_95~99세","2026년08월_남_100세 이상","2026년08월_여_총인구수","2026년08월_여_연령구간인구수","2026년08월_여_0~4세","2026년08월_여_5~9세","2026년08월_여_10~14세","2026년08월_여_15~19세","2026년08월_여_20~24세","2026년08월_여_25~29세","2026년08월_여_30~34세","2026년08월_여_35~39세","2026년08월_여_40~44세","2026년08월_여_45~49세","2026년08월_여_50~54세","2026년08월_여_55~59세","2026년08월_여_60~64세","2026년08월_여_65~69세","2026년08월_여_70~74세","2026년08월_여_75~79세","2026년08월_여_80~84세","2026년08월_여_85~89세","2026년08월_여_90~94세","2026년08월_여_95~99세","2026년08월_여_100세 이상"
"서울특별시  (1100000000)","9,281,625","9,281,625","206,719","244,007","341,692","372,289","479,424","745,393","809,324","661,252","661,889","691,276","718,462","740,442","648,205","666,484","501,292","353,699","243,465","135,852","48,160","10,796","1,503","4,466,290","4,466,290","105,717","125,654","175,074","188,724","222,784","347,678","402,727","331,402","328,037","340,125","353,938","362,472","314,718","310,166","228,028","156,438","103,295","51,886","14,629","2,475","323","4,815,335","4,815,335","101,002","118,353","166,618","183,565","256,640","397,715","406,597","329,850","333,852","351,151","364,524","377,970","333,487","356,318","273,264","197,261","140,170","83,966","33,531","8,321","1,180"
"서울특별시 종로구 (1111000000)","135,935","135,935","2,194","2,702","4,044","4,998","7,846","11,871","11,292","8,618","8,715","9,255","10,369","11,964","10,647","10,267","7,545","5,323","4,273","2,688","1,023","257","44","65,042","65,042","1,144","1,367","1,975","2,456","3,469","5,621","5,715","4,227","4,249","4,360","5,006","5,886","5,391","5,045","3,639","2,315","1,707","1,048","343","65","14","70,893","70,893","1,050","1,335","2,069","2,542","4,377","6,250","5,577","4,391","4,466","4,895","5,363","6,078","5,256","5,222","3,906","3,008","2,566","1,640","680","192","30"
"서울특별시 중구 (1114000000)","117,305","117,305","2,500","2,293","2,678","3,172","5,519","9,628","11,629","9,638","8,336","7,775","8,173","9,494","8,667","9,035","6,902","4,910","3,652","2,220","845","211","28","56,257","56,257","1,283","1,174","1,365","1,543","2,487","4,268","5,667","4,868","4,145","3,912","4,043","4,795","4,313","4,430","3,263","2,179","1,441","793","231","52","5","61,048","61,048","1,217","1,119","1,313","1,629","3,032","5,360","5,962","4,770","4,191","3,863","4,130","4,699","4,354","4,605","3,639","2,731","2,211","1,427","614","159","23"
"서울특별시 용산구 (1117000000)","199,459","199,459","4,779","4,948","6,010","6,542","9,376","15,995","20,281","16,670","15,011","13,912","14,952","16,371","14,226","13,590","9,784","6,726","5,140","3,392","1,379","315","60","94,706","94,706","2,407","2,482","3,131","3,279","3,997","7,186","9,702","8,231","7,486","6,778","7,123","7,977","7,064","6,572","4,535","2,967","2,017","1,242","412","98","20","104,753","104,753","2,372","2,466","2,879","3,263","5,379","8,809","10,579","8,439","7,525","7,134","7,829","8,394","7,162","7,018","5,249","3,759","3,123","2,150","967","217","40"
"서울특별시 성동구 (1120000000)","274,199","274,199","8,041","7,554","8,134","8,911","14,798","22,270","25,302","22,965","20,752","18,706","20,289","22,291","19,311","19,120","13,313","9,616","7,011","4,090","1,397","296","32","132,196","132,196","4,111","3,890","4,102","4,350","6,820","10,760","12,357","11,322","10,625","9,172","9,852","10,935","9,553","9,228","6,155","4,182","2,855","1,466","398","58","5","142,003","142,003","3,930","3,664","4,032","4,561","7,978","11,510","12,945","11,643","10,127","9,534","10,437","11,356","9,758","9,892","7,158","5,434","4,156","2,624","999","238","27"
"서울특별시 광진구 (1121500000)","330,791","330,791","5,925","7,255","10,603","12,140","19,921","33,994","33,490","23,719","22,612","23,141","24,260","26,247","23,047","22,895","16,308","11,180","7,723","4,394","1,563","329","45","158,118","158,118","3,030","3,708","5,435","6,018","8,971","15,515","16,516","11,905","11,029","11,374","11,811","12,652","11,311","10,786","7,459","4,969","3,323","1,760","460","73","13","172,673","172,673","2,895","3,547","5,168","6,122","10,950","18,479","16,974","11,814","11,583","11,767","12,449","13,595","11,736","12,109","8,849","6,211","4,400","2,634","1,103","256","32"
"서울특별시 동대문구 (1123000000)","353,448","353,448","9,050","9,019","10,763","12,441","24,259","31,216","30,643","25,904","24,457","24,099","25,450","27,172","23,872","24,983","18,842","13,385","10,017","5,549","1,888","389","50","172,051","172,051","4,684","4,550","5,519","6,199","10,841","15,023","15,302","13,316","12,550","12,221","12,838","13,587","12,038","11,915","8,743","5,841","4,113","2,067","600","95","9","181,397","181,397","4,366","4,469","5,244","6,242","13,418","16,193","15,341","12,588","11,907","11,878","12,612","13,585","11,834","13,068","10,099","7,544","5,904","3,482","1,288","294","41"
"서울특별시 중랑구 (1126000000)","376,504","376,504","7,969","8,085","10,856","11,965","16,134","27,790","33,240","26,309","24,858","25,471","27,495","33,061","31,823","32,605","23,434","16,036","10,899","5,999","1,978","434","63","183,550","183,550","4,029","4,110","5,616","6,081","7,595","12,980","16,668","13,634","12,899","13,245","13,824","16,065","15,594","15,629","10,996","7,083","4,510","2,310","582","89","11","192,954","192,954","3,940","3,975","5,240","5,884","8,539","14,810","16,572","12,675","11,959","12,226","13,671","16,996","16,229","16,976","12,438","8,953","6,389","3,689","1,396","345","52"
"서울특별시 성북구 (1129000000)","421,106","421,106","9,433","11,429","15,510","18,194","29,224","32,604","30,426","26,692","28,652","30,226","34,480","35,630","28,945","29,517","22,043","16,053","12,096","6,962","2,376","541","73","200,771","200,771","4,839","5,908","7,903","9,018","12,902","15,790","15,111","13,336","14,330","14,787","16,655","17,619","13,907","13,646","9,991","6,737","4,891","2,548","721","117","15","220,335","220,335","4,594","5,521","7,607","9,176","16,322","16,814","15,315","13,356","14,322","15,439","17,825","18,011","15,038","15,871","12,052","9,316","7,205","4,414","1,655","424","58"
"서울특별시 강북구 (1130500000)","277,509","277,509","4,093","5,205","7,797","9,774","14,383","18,915","19,158","15,339","16,633","18,978","22,549","25,385","23,024","24,559","18,669","14,320","10,585","5,869","1,844","382","48","133,228","133,228","2,048","2,674","4,040","4,870","6,229","9,070","9,987","8,093","8,737","9,846","11,339","12,385","11,237","11,401","8,252","5,982","4,194","2,172","580","81","11","144,281","144,281","2,045","2,531","3,757","4,904","8,154","9,845","9,171","7,246","7,896","9,132","11,210","13,000","11,787","13,158","10,417","8,338","6,391","3,697","1,264","301","37"
