행정표준코드5,시도,시군구,인구,65세이상비율%,국문,영문,커버율%
30110,대전광역시,동구,217981,25.0,110,32,29.1
30140,대전광역시,중구,223664,25.4,112,38,33.9
30230,대전광역시,대덕구,163594,24.0,67,11,16.4
28125,인천광역시,제물포구,99217,30.7,190,46,24.2
26110,부산광역시,중구,36126,35.3,194,117,60.3
26410,부산광역시,금정구,205341,29.5,89,26,29.2
12210,전남광주통합특별시,동구,105328,25.1,124,59,47.6
48220,경상남도,통영시,115975,28.7,427,45,10.5
48240,경상남도,사천시,107796,28.1,139,15,10.8
51150,강원특별자치도,강릉시,205440,28.6,1003,113,11.3
51170,강원특별자치도,동해시,85534,27.5,116,36,31.0
51810,강원특별자치도,인제군,30692,28.5,153,12,7.8
51210,강원특별자치도,속초시,78788,27.0,269,48,17.8
47130,경상북도,경주시,242512,30.0,622,102,16.4
47150,경상북도,김천시,132433,30.2,88,8,9.1
52140,전북특별자치도,익산시,266639,26.5,182,17,9.3
41250,경기도,동두천시,86168,28.6,58,6,10.3
41650,경기도,포천시,140397,29.7,299,24,8.0
