행정표준코드5,시도,시군구,주민등록인구_2026-08,65세이상비율%,50-74세,국문관광정보,영문관광정보,영문커버율%,국문(쇼핑제외),영문(쇼핑제외),커버율_쇼핑제외%,시장명칭건수
27720,대구광역시,군위군,22493,50.4,12459,70,7,10.0,69,7,10.1,0
47730,경상북도,의성군,47879,50.3,24966,62,0,0.0,61,0,0.0,1
48890,경상남도,합천군,38732,49.1,19870,142,9,6.3,140,9,6.4,1
12740,전남광주통합특별시,고흥군,59011,48.3,28263,127,5,3.9,124,4,3.2,2
47820,경상북도,청도군,39988,47.8,21191,136,10,7.4,132,10,7.6,2
47920,경상북도,봉화군,28041,46.9,14825,79,8,10.1,77,8,10.4,1
48860,경상남도,산청군,32628,46.4,17499,158,9,5.7,155,9,5.8,2
47770,경상북도,영덕군,32511,46.1,16312,108,11,10.2,103,11,10.7,4
48720,경상남도,의령군,24518,46.0,12515,64,2,3.1,63,2,3.2,1
44770,충청남도,서천군,46589,45.2,22589,120,6,5.0,115,6,5.2,1
48850,경상남도,하동군,39565,45.1,20823,190,15,7.9,185,15,8.1,2
12750,전남광주통합특별시,보성군,38162,44.8,18166,112,9,8.0,104,8,7.7,3
47750,경상북도,청송군,24560,44.8,12692,94,19,20.2,93,19,20.4,1
44760,충청남도,부여군,57591,44.7,28049,199,69,34.7,144,17,11.8,2
52750,전북특별자치도,임실군,25290,44.4,12009,100,5,5.0,97,5,5.2,3
48840,경상남도,남해군,41073,44.4,19980,215,19,8.8,209,19,9.1,2
43760,충청북도,괴산군,37174,44.3,20438,173,12,6.9,169,11,6.5,2
47760,경상북도,영양군,15956,44.3,8151,38,2,5.3,37,2,5.4,1
43720,충청북도,보은군,31549,43.4,16215,97,10,10.3,94,10,10.6,1
44790,충청남도,청양군,30010,43.4,14731,55,8,14.5,52,8,15.4,1
12820,전남광주통합특별시,함평군,29753,43.1,14242,74,6,8.1,73,6,8.2,1
47840,경상북도,성주군,40293,42.9,21561,82,6,7.3,80,5,6.2,1
43800,충청북도,단양군,26481,42.7,14383,162,22,13.6,157,20,12.7,3
52720,전북특별자치도,진안군,24930,42.6,12421,107,8,7.5,106,8,7.5,1
48870,경상남도,함양군,35074,42.5,17363,118,13,11.0,112,12,10.7,3
28710,인천광역시,강화군,69541,42.2,34155,357,41,11.5,346,39,11.3,5
12720,전남광주통합특별시,곡성군,27686,42.2,13368,102,7,6.9,99,7,7.1,2
52790,전북특별자치도,고창군,50025,41.9,22948,147,16,10.9,143,15,10.5,0
47830,경상북도,고령군,29429,41.7,15350,75,5,6.7,75,5,6.7,0
52740,전북특별자치도,장수군,21184,41.6,10215,79,3,3.8,75,3,4.0,0
12730,전남광주통합특별시,구례군,24627,41.6,12098,143,13,9.1,141,13,9.2,1
43740,충청북도,영동군,43089,41.5,21989,89,9,10.1,85,9,10.6,0
48740,경상남도,창녕군,54173,41.5,27332,92,5,5.4,90,5,5.6,2
12780,전남광주통합특별시,강진군,31603,41.4,14350,108,18,16.7,105,18,17.1,2
12770,전남광주통합특별시,장흥군,33877,41.3,15558,103,9,8.7,100,9,9.0,1
52800,전북특별자치도,부안군,46952,41.2,22203,166,13,7.8,161,13,8.1,4
44825,충청남도,태안군,58858,41.0,28772,360,26,7.2,349,25,7.2,5
51730,강원특별자치도,횡성군,45465,40.8,23992,169,14,8.3,167,14,8.4,0
48820,경상남도,고성군,46712,40.8,23308,121,4,3.3,120,4,3.3,1
12860,전남광주통합특별시,진도군,27773,40.5,12671,115,18,15.7,114,18,15.8,1
52730,전북특별자치도,무주군,23455,40.1,11298,152,5,3.3,150,5,3.3,2
12850,전남광주통합특별시,완도군,44071,39.9,19720,121,19,15.7,119,19,16.0,1
12790,전남광주통합특별시,해남군,61883,39.9,28822,117,35,29.9,114,35,30.7,0
47250,경상북도,상주시,88920,39.7,42102,125,15,12.0,118,12,10.2,3
51750,강원특별자치도,영월군,35651,39.6,18387,264,21,8.0,259,20,7.7,3
44710,충청남도,금산군,48749,39.6,24056,91,11,12.1,88,11,12.5,3
52770,전북특별자치도,순창군,27654,39.3,12722,81,4,4.9,79,4,5.1,1
47280,경상북도,문경시,64657,39.2,30703,130,23,17.7,123,21,17.1,5
12870,전남광주통합특별시,신안군,42384,39.1,20655,133,12,9.0,133,12,9.0,0
51760,강원특별자치도,평창군,39849,38.8,21120,625,40,6.4,619,38,6.1,4
12710,전남광주통합특별시,담양군,43880,38.7,20909,157,29,18.5,154,29,18.8,1
51830,강원특별자치도,양양군,27350,38.0,13159,244,37,15.2,241,36,14.9,1
28720,인천광역시,옹진군,19275,37.9,9607,126,6,4.8,125,6,4.8,0
48270,경상남도,밀양시,98305,37.9,48115,206,12,5.8,196,8,4.1,4
